name,x,z,height
dawn_center,120.0000,390.0000,0.980786
dawn_player_start,120.0000,405.0000,0.825282
dawn_lagoon,88.0000,404.0000,-4.565043
dawn_north_spit,120.0000,348.0000,0.691413
forest_center,120.0000,135.0000,-0.225352
forest_west_pool,98.0000,128.0000,-1.839207
forest_east_pool,137.0000,153.0000,-1.412934
cliffs_center,385.0000,390.0000,9.597357
cliffs_ridge,408.0000,378.0000,14.909667
cliffs_cave_headland,344.0000,390.0000,6.445462
volcano_center,385.0000,130.0000,9.873513
volcano_crater_rim,385.0000,155.0000,15.080352
reef_south,120.0000,210.0000,-2.050000
reef_middle,120.0000,265.0000,-2.050000
reef_north,120.0000,320.0000,-2.050000
cave_entry,176.0000,390.0000,0.614858
cave_exit,329.0000,390.0000,6.264208
bridge_start,190.0000,135.0000,-0.124587
bridge_end,310.0000,135.0000,-4.742469
ruins_start,385.0000,315.0000,6.815310
ruins_end,385.0000,200.0000,-3.510995
open_sea,256.0000,256.0000,-6.000000
corner_origin,0.0000,0.0000,-6.000000
corner_far,512.0000,512.0000,-6.000000
grid,0.0000,0.0000,-6.000000
grid,16.0000,0.0000,-6.000000
grid,32.0000,0.0000,-6.000000
grid,48.0000,0.0000,-6.000000
grid,64.0000,0.0000,-6.000000
grid,80.0000,0.0000,-6.000000
grid,96.0000,0.0000,-6.000000
grid,112.0000,0.0000,-6.000000
grid,128.0000,0.0000,-6.000000
grid,144.0000,0.0000,-6.000000
grid,160.0000,0.0000,-6.000000
grid,176.0000,0.0000,-6.000000
grid,192.0000,0.0000,-6.000000
grid,208.0000,0.0000,-6.000000
grid,224.0000,0.0000,-6.000000
grid,240.0000,0.0000,-6.000000
grid,256.0000,0.0000,-6.000000
grid,272.0000,0.0000,-6.000000
grid,288.0000,0.0000,-6.000000
grid,304.0000,0.0000,-6.000000
grid,320.0000,0.0000,-6.000000
grid,336.0000,0.0000,-6.000000
grid,352.0000,0.0000,-6.000000
grid,368.0000,0.0000,-6.000000
grid,384.0000,0.0000,-6.000000
grid,400.0000,0.0000,-6.000000
grid,416.0000,0.0000,-6.000000
grid,432.0000,0.0000,-6.000000
grid,448.0000,0.0000,-6.000000
grid,464.0000,0.0000,-6.000000
grid,480.0000,0.0000,-6.000000
grid,496.0000,0.0000,-6.000000
grid,512.0000,0.0000,-6.000000
grid,0.0000,16.0000,-6.000000
grid,16.0000,16.0000,-6.000000
grid,32.0000,16.0000,-6.000000
grid,48.0000,16.0000,-6.000000
grid,64.0000,16.0000,-6.000000
grid,80.0000,16.0000,-6.000000
grid,96.0000,16.0000,-6.000000
grid,112.0000,16.0000,-6.000000
grid,128.0000,16.0000,-6.000000
grid,144.0000,16.0000,-6.000000
grid,160.0000,16.0000,-6.000000
grid,176.0000,16.0000,-6.000000
grid,192.0000,16.0000,-6.000000
grid,208.0000,16.0000,-6.000000
grid,224.0000,16.0000,-6.000000
grid,240.0000,16.0000,-6.000000
grid,256.0000,16.0000,-6.000000
grid,272.0000,16.0000,-6.000000
grid,288.0000,16.0000,-6.000000
grid,304.0000,16.0000,-6.000000
grid,320.0000,16.0000,-6.000000
grid,336.0000,16.0000,-6.000000
grid,352.0000,16.0000,-6.000000
grid,368.0000,16.0000,-6.000000
grid,384.0000,16.0000,-6.000000
grid,400.0000,16.0000,-6.000000
grid,416.0000,16.0000,-6.000000
grid,432.0000,16.0000,-6.000000
grid,448.0000,16.0000,-6.000000
grid,464.0000,16.0000,-6.000000
grid,480.0000,16.0000,-6.000000
grid,496.0000,16.0000,-6.000000
grid,512.0000,16.0000,-6.000000
grid,0.0000,32.0000,-6.000000
grid,16.0000,32.0000,-6.000000
grid,32.0000,32.0000,-6.000000
grid,48.0000,32.0000,-6.000000
grid,64.0000,32.0000,-6.000000
grid,80.0000,32.0000,-6.000000
grid,96.0000,32.0000,-6.000000
grid,112.0000,32.0000,-6.000000
grid,128.0000,32.0000,-6.000000
grid,144.0000,32.0000,-6.000000
grid,160.0000,32.0000,-6.000000
grid,176.0000,32.0000,-6.000000
grid,192.0000,32.0000,-6.000000
grid,208.0000,32.0000,-6.000000
grid,224.0000,32.0000,-6.000000
grid,240.0000,32.0000,-6.000000
grid,256.0000,32.0000,-6.000000
grid,272.0000,32.0000,-6.000000
grid,288.0000,32.0000,-6.000000
grid,304.0000,32.0000,-6.000000
grid,320.0000,32.0000,-6.000000
grid,336.0000,32.0000,-6.000000
grid,352.0000,32.0000,-6.000000
grid,368.0000,32.0000,-6.000000
grid,384.0000,32.0000,-6.000000
grid,400.0000,32.0000,-6.000000
grid,416.0000,32.0000,-6.000000
grid,432.0000,32.0000,-6.000000
grid,448.0000,32.0000,-6.000000
grid,464.0000,32.0000,-6.000000
grid,480.0000,32.0000,-6.000000
grid,496.0000,32.0000,-6.000000
grid,512.0000,32.0000,-6.000000
grid,0.0000,48.0000,-6.000000
grid,16.0000,48.0000,-6.000000
grid,32.0000,48.0000,-6.000000
grid,48.0000,48.0000,-6.000000
grid,64.0000,48.0000,-6.000000
grid,80.0000,48.0000,-6.000000
grid,96.0000,48.0000,-6.000000
grid,112.0000,48.0000,-6.000000
grid,128.0000,48.0000,-6.000000
grid,144.0000,48.0000,-6.000000
grid,160.0000,48.0000,-6.000000
grid,176.0000,48.0000,-6.000000
grid,192.0000,48.0000,-6.000000
grid,208.0000,48.0000,-6.000000
grid,224.0000,48.0000,-6.000000
grid,240.0000,48.0000,-6.000000
grid,256.0000,48.0000,-6.000000
grid,272.0000,48.0000,-6.000000
grid,288.0000,48.0000,-6.000000
grid,304.0000,48.0000,-6.000000
grid,320.0000,48.0000,-6.000000
grid,336.0000,48.0000,-6.000000
grid,352.0000,48.0000,-6.000000
grid,368.0000,48.0000,-6.000000
